variable;anova_f;anova_p;levene_f;levene_p
all_fogy;68.75;<.0001;1.91;0.1599
all_fogy_ezer;18.63;<.0001;0.87;0.4749
bevand;37.26;<.0001;6.84;0.0023
bevand_ezer;15.10;<.0001;4.42;0.0154
brut_eur;11.44;0.0001;0.02;0.9953
elv_sz;307.70;<.0001;3.40;0.0379
fogy_alk;38.71;<.0001;7.46;0.0015
fogy_alk_ezer;6.90;0.0023;0.97;0.4275
fogy_egesz;46.68;<.0001;9.58;0.0004
fogy_egesz_ezer;11.49;0.0001;5.54;0.0062
fogy_elm;83.06;<.0001;4.01;0.0218
fogy_elm_ezer;7.30;0.0017;1.26;0.3160
fogy_etter;33.26;<.0001;2.11;0.1304
fogy_etter_ezer;16.56;<.0001;2.01;0.1455
fogy_okt;54.02;<.0001;6.77;0.0025
fogy_okt_ezer;22.21;<.0001;1.96;0.1531
fogy_ossz;72.60;<.0001;3.89;0.0243
fogy_ossz_ezer;5.85;0.0049;0.47;0.7079
fogy_ruha;94.36;<.0001;2.78;0.0674
fogy_ruha_ezer;11.72;0.0001;1.29;0.3038
fogy_transz;71.51;<.0001;2.44;0.0947
fogy_transz_ezer;5.79;0.0051;0.50;0.6858
gdp_me;64.47;<.0001;2.81;0.0657
gdp_me_ezer;11.86;0.0001;0.30;0.8216
hal_ar;4.77;0.0115;0.96;0.4316
hal_sz;89.37;<.0001;2.02;0.1430
inflacio;0.34;0.7987;1.31;0.2999
kivand;295.83;<.0001;3.23;0.0442
kivand_ezer;58.49;<.0001;2.80;0.0661
megtak_rata;36.20;<.0001;1.89;0.1645
mezoter;2135.62;<.0001;4.24;0.0180
mezoter_euer;540.11;<.0001;1.04;0.3970
munkanelk;62.81;<.0001;2.36;0.1015
nep_jan1;11700.3;<.0001;3.17;0.0466
nep_term;6.44;0.0031;1.24;0.3218
nett_eur;5.87;0.0048;0.07;0.9755
szul_ar;3.88;0.0245;2.46;0.0922
tfr;23.47;<.0001;1.58;0.2258
