variable;anova_f;anova_p;levene_f;levene_p
gdp_me;19.86;<.0001;1.11;0.3549
elv_sz;49.36;<.0001;4.02;0.0399
hal_sz;25.92;<.0001;1.95;0.1773
nep_jan1;370.82;<.0001;1.93;0.1789
tfr;0.74;0.4921;1.00;0.3926
brut_eur;12.66;0.0006;0.04;0.9591
nett_eur;8.30;0.0037;0.01;0.9892
belso_mig;17.94;0.0001;0.91;0.4242
kivand;11.39;0.0010;0.04;0.9589
nep_valt;0.56;0.5819;0.90;0.4258
nep_valt_ar;0.30;0.7468;0.92;0.4184
nok_kora;242.50;<.0001;2.79;0.0936
csecshal;17.32;0.0001;1.11;0.3552
fogy_elm;34.81;<.0001;2.01;0.1689
fogy_alk;0.87;0.4378;3.28;0.0657
fogy_ruha;64.72;<.0001;2.15;0.1512
fogy_egesz;23.70;<.0001;7.72;0.0050
fogy_transz;10.27;0.0016;0.43;0.6608
fogy_okt;15.83;0.0002;3.67;0.0504
fogy_etter;8.20;0.0039;2.64;0.1038
fogy_elm_ezer;15.48;0.0002;1.85;0.1921
fogy_alk_ezer;4.99;0.0219;1.71;0.2144
fogy_ruha_ezer;35.29;<.0001;2.35;0.1290
fogy_egesz_ezer;14.62;0.0003;7.16;0.0066
fogy_transz_ezer;9.83;0.0019;0.39;0.6816
fogy_okt_ezer;37.12;<.0001;1.98;0.1727
fogy_etter_ezer;22.33;<.0001;2.50;0.1154
gdp_me_ezer;12.83;0.0006;0.79;0.4736
