country;variable;sw_w;sw_p;ks_d;ks_p;cvm_w_sq;cvm_p;ad_a_sq;ad_p
Bulgária;gdp_me;0.89861;0.3658;0.242422;>0.1500;0.058767;>0.2500;0.348725;>0.2500
Magyarország;gdp_me;0.839926;0.1302;0.253592;>0.1500;0.074238;0.2122;0.466606;0.1576
Románia;gdp_me;0.894915;0.3447;0.236033;>0.1500;0.06216;>0.2500;0.363845;>0.2500
Szerbia;gdp_me;0.907508;0.4202;0.229881;>0.1500;0.050697;>0.2500;0.32072;>0.2500
Bulgária;inflacio;0.802522;0.0619;0.357453;0.0173;0.120959;0.0443;0.64111;0.0481
Magyarország;inflacio;0.75057;0.0202;0.326178;0.0442;0.136795;0.0249;0.750373;0.0233
Románia;inflacio;0.824675;0.0968;0.356315;0.0179;0.115543;0.0519;0.598067;0.0673
Szerbia;inflacio;0.740845;0.0162;0.291838;0.1066;0.1303;0.0328;0.752003;0.0231
Bulgária;brut_eur;0.963551;0.8466;0.160875;>0.1500;0.025531;>0.2500;0.180165;>0.2500
Magyarország;brut_eur;0.902145;0.3868;0.203095;>0.1500;0.054854;>0.2500;0.346315;>0.2500
Románia;brut_eur;0.956647;0.7936;0.19689;>0.1500;0.032795;>0.2500;0.215845;>0.2500
Szerbia;brut_eur;0.966239;0.8663;0.149813;>0.1500;0.025289;>0.2500;0.177394;>0.2500
Bulgária;nett_eur;0.963549;0.8466;0.160876;>0.1500;0.025531;>0.2500;0.180169;>0.2500
Magyarország;nett_eur;0.930883;0.5869;0.196162;>0.1500;0.04572;>0.2500;0.288509;>0.2500
Románia;nett_eur;0.959221;0.8137;0.19802;>0.1500;0.032487;>0.2500;0.213209;>0.2500
Szerbia;nett_eur;0.966589;0.8688;0.147834;>0.1500;0.025146;>0.2500;0.176558;>0.2500
Bulgária;munkanelk;0.886322;0.2994;0.188243;>0.1500;0.052471;>0.2500;0.34867;>0.2500
Magyarország;munkanelk;0.868354;0.2197;0.24353;>0.1500;0.071238;0.2313;0.421356;0.2166
Románia;munkanelk;0.928995;0.5724;0.250218;>0.1500;0.071953;0.2268;0.366963;>0.2500
Szerbia;munkanelk;0.8382;0.1260;0.241777;>0.1500;0.077627;0.1906;0.483969;0.1402
Bulgária;tfr;0.922385;0.5227;0.19517;>0.1500;0.04219;>0.2500;0.287884;>0.2500
Magyarország;tfr;0.78256;0.0407;0.294151;0.0996;0.117975;0.0479;0.647932;0.0464
Románia;tfr;0.793496;0.0513;0.2779;>0.1500;0.104123;0.0800;0.608915;0.0619
Szerbia;tfr;0.886308;0.2993;0.283477;0.1331;0.069089;0.2450;0.384759;>0.2500
Bulgária;elv_sz;0.923771;0.5329;0.18949;>0.1500;0.040685;>0.2500;0.266505;>0.2500
Magyarország;elv_sz;0.796644;0.0548;0.334825;0.0342;0.11754;0.0485;0.627901;0.0526
Románia;elv_sz;0.845905;0.1458;0.273716;>0.1500;0.083641;0.1523;0.481517;0.1423
Szerbia;elv_sz;0.947212;0.7177;0.175461;>0.1500;0.032744;>0.2500;0.217907;>0.2500
Bulgária;hal_sz;0.895394;0.3474;0.216011;>0.1500;0.056078;>0.2500;0.361035;>0.2500
Magyarország;hal_sz;0.845422;0.1445;0.223422;>0.1500;0.071961;0.2267;0.457709;0.1692
Románia;hal_sz;0.917332;0.4864;0.243046;>0.1500;0.053416;>0.2500;0.319684;>0.2500
Szerbia;hal_sz;0.868832;0.2216;0.227317;>0.1500;0.066887;>0.2500;0.419366;0.2192
Bulgária;szul_ar;0.875148;0.2475;0.261936;>0.1500;0.066543;>0.2500;0.407518;0.2347
Magyarország;szul_ar;0.907906;0.4228;0.29056;0.1106;0.064535;>0.2500;0.350719;>0.2500
Románia;szul_ar;0.789309;0.0470;0.307873;0.0744;0.112127;0.0603;0.63327;0.0500
Szerbia;szul_ar;0.866261;0.2117;0.254278;>0.1500;0.066186;>0.2500;0.413003;0.2275
Bulgária;hal_ar;0.858262;0.1833;0.245246;>0.1500;0.068535;0.2486;0.43808;0.1948
Magyarország;hal_ar;0.81564;0.0809;0.244784;>0.1500;0.084076;0.1497;0.527352;0.1034
Románia;hal_ar;0.902621;0.3897;0.216527;>0.1500;0.054633;>0.2500;0.33927;>0.2500
Szerbia;hal_ar;0.813065;0.0768;0.258738;>0.1500;0.085557;0.1435;0.537272;0.0971
Bulgária;nok_kora;0.924757;0.5403;0.178678;>0.1500;0.034023;>0.2500;0.248098;>0.2500
Magyarország;nok_kora;0.949876;0.7393;0.163698;>0.1500;0.032736;>0.2500;0.208634;>0.2500
Románia;nok_kora;0.808712;0.0703;0.26676;>0.1500;0.090514;0.1229;0.552086;0.0898
Szerbia;nok_kora;0.831142;0.1099;0.285402;0.1270;0.0821;0.1621;0.498753;0.1277
Bulgária;csecshal;0.887208;0.3038;0.262725;>0.1500;0.064804;>0.2500;0.378996;>0.2500
Magyarország;csecshal;0.905014;0.4044;0.216882;>0.1500;0.04887;>0.2500;0.326199;>0.2500
Románia;csecshal;0.945466;0.7035;0.25891;>0.1500;0.047771;>0.2500;0.28296;>0.2500
Szerbia;csecshal;0.79763;0.0560;0.352083;0.0201;0.112729;0.0588;0.629243;0.0520
Bulgária;nep_jan1;0.946344;0.7106;0.188077;>0.1500;0.03422;>0.2500;0.222473;>0.2500
Magyarország;nep_jan1;0.899602;0.3716;0.224033;>0.1500;0.049402;>0.2500;0.319459;>0.2500
Románia;nep_jan1;0.933113;0.6043;0.186455;>0.1500;0.031497;>0.2500;0.23067;>0.2500
Szerbia;nep_jan1;0.923485;0.5308;0.180544;>0.1500;0.040929;>0.2500;0.276446;>0.2500
Bulgária;nep_term;0.831048;0.1097;0.26782;>0.1500;0.079872;0.1763;0.501841;0.1250
Magyarország;nep_term;0.869179;0.2230;0.260081;>0.1500;0.064678;>0.2500;0.408695;0.2332
Románia;nep_term;0.911428;0.4459;0.213387;>0.1500;0.043931;>0.2500;0.304125;>0.2500
Szerbia;nep_term;0.822063;0.0919;0.264015;>0.1500;0.083;0.1564;0.518432;0.1110
Bulgária;bevand;0.855785;0.1752;0.318708;0.0546;0.102685;0.0835;0.542276;0.0946
Magyarország;bevand;0.953216;0.7662;0.167344;>0.1500;0.028779;>0.2500;0.198355;>0.2500
Románia;bevand;0.895705;0.3492;0.276212;>0.1500;0.067559;>0.2500;0.372699;>0.2500
Szerbia;bevand;0.839429;0.1290;0.25785;>0.1500;0.08909;0.1288;0.501322;0.1255
Bulgária;kivand;0.949856;0.7391;0.21385;>0.1500;0.036273;>0.2500;0.222429;>0.2500
Magyarország;kivand;0.879819;0.2682;0.254858;>0.1500;0.059474;>0.2500;0.376953;>0.2500
Románia;kivand;0.913235;0.4580;0.240392;>0.1500;0.048626;>0.2500;0.3036;>0.2500
Szerbia;kivand;0.900555;0.3772;0.257348;>0.1500;0.054119;>0.2500;0.335165;>0.2500
Bulgária;fogy_ossz;0.885415;0.2949;0.24768;>0.1500;0.06461;>0.2500;0.380432;>0.2500
Magyarország;fogy_ossz;0.872971;0.2383;0.259306;>0.1500;0.065599;>0.2500;0.397711;0.2475
Románia;fogy_ossz;0.85976;0.1883;0.260866;>0.1500;0.077881;0.1890;0.441489;0.1904
Szerbia;fogy_ossz;0.874692;0.2456;0.249094;>0.1500;0.068312;0.2500;0.403908;0.2394
Bulgária;fogy_elm;0.818872;0.0863;0.271912;>0.1500;0.090364;0.1235;0.535774;0.0978
Magyarország;fogy_elm;0.836066;0.1209;0.253421;>0.1500;0.086943;0.1377;0.517855;0.1115
Románia;fogy_elm;0.831038;0.1097;0.269222;>0.1500;0.090252;0.1240;0.507552;0.1202
Szerbia;fogy_elm;0.86004;0.1893;0.260978;>0.1500;0.077269;0.1929;0.438872;0.1938
Bulgária;fogy_alk;0.81756;0.0841;0.260697;>0.1500;0.095827;0.1007;0.562837;0.0846
Magyarország;fogy_alk;0.848324;0.1526;0.265299;>0.1500;0.08266;0.1585;0.489424;0.1356
Románia;fogy_alk;0.924327;0.5371;0.193493;>0.1500;0.032222;>0.2500;0.244925;>0.2500
Szerbia;fogy_alk;0.953019;0.7646;0.170286;>0.1500;0.028937;>0.2500;0.196064;>0.2500
Bulgária;fogy_ruha;0.716969;0.0093;0.317851;0.0561;0.147678;0.0190;0.819892;0.0157
Magyarország;fogy_ruha;0.882506;0.2808;0.293924;0.1000;0.083688;0.1520;0.458147;0.1686
Románia;fogy_ruha;0.862052;0.1963;0.312837;0.0653;0.083627;0.1524;0.458068;0.1687
Szerbia;fogy_ruha;0.889101;0.3135;0.242944;>0.1500;0.056668;>0.2500;0.356823;>0.2500
Bulgária;fogy_egesz;0.943602;0.6883;0.187334;>0.1500;0.034151;>0.2500;0.220564;>0.2500
Magyarország;fogy_egesz;0.750679;0.0202;0.314805;0.0617;0.141185;0.0225;0.770706;0.0211
Románia;fogy_egesz;0.905503;0.4075;0.190716;>0.1500;0.03741;>0.2500;0.281892;>0.2500
Szerbia;fogy_egesz;0.945744;0.7057;0.195038;>0.1500;0.036321;>0.2500;0.226481;>0.2500
Bulgária;fogy_transz;0.91623;0.4786;0.256473;>0.1500;0.056231;>0.2500;0.319039;>0.2500
Magyarország;fogy_transz;0.957017;0.7965;0.174731;>0.1500;0.035526;>0.2500;0.233045;>0.2500
Románia;fogy_transz;0.881203;0.2746;0.312666;0.0656;0.082673;0.1585;0.446253;0.1841
Szerbia;fogy_transz;0.936246;0.6291;0.249094;>0.1500;0.049619;>0.2500;0.279537;>0.2500
Bulgária;fogy_okt;0.829793;0.1071;0.267315;>0.1500;0.090035;0.1249;0.519913;0.1097
Magyarország;fogy_okt;0.748747;0.0194;0.311766;0.0673;0.131099;0.0318;0.738958;0.0246
Románia;fogy_okt;0.914222;0.4648;0.184927;>0.1500;0.040207;>0.2500;0.275656;>0.2500
Szerbia;fogy_okt;0.940888;0.6664;0.220553;>0.1500;0.039068;>0.2500;0.244693;>0.2500
Bulgária;fogy_etter;0.927562;0.5614;0.207639;>0.1500;0.048225;>0.2500;0.305046;>0.2500
Magyarország;fogy_etter;0.937472;0.6389;0.187884;>0.1500;0.028277;>0.2500;0.221073;>0.2500
Románia;fogy_etter;0.930717;0.5857;0.21307;>0.1500;0.042845;>0.2500;0.278913;>0.2500
Szerbia;fogy_etter;0.836802;0.1226;0.316498;0.0586;0.099327;0.0918;0.530831;0.1005
Bulgária;all_fogy;0.962319;0.8374;0.139628;>0.1500;0.024065;>0.2500;0.173873;>0.2500
Magyarország;all_fogy;0.933064;0.6040;0.21323;>0.1500;0.043682;>0.2500;0.278273;>0.2500
Románia;all_fogy;0.965019;0.8575;0.191686;>0.1500;0.032441;>0.2500;0.213111;>0.2500
Szerbia;all_fogy;0.971271;0.9009;0.157309;>0.1500;0.023148;>0.2500;0.16314;>0.2500
Bulgária;megtak_rata;0.957842;0.8030;0.200598;>0.1500;0.035721;>0.2500;0.228206;>0.2500
Magyarország;megtak_rata;0.936873;0.6341;0.243937;>0.1500;0.047396;>0.2500;0.26946;>0.2500
Románia;megtak_rata;0.952003;0.7565;0.204615;>0.1500;0.038939;>0.2500;0.238338;>0.2500
Szerbia;megtak_rata;0.863664;0.2021;0.211339;>0.1500;0.051775;>0.2500;0.376174;>0.2500
Bulgária;mezoter;0.915449;0.4732;0.168581;>0.1500;0.03778;>0.2500;0.274667;>0.2500
Magyarország;mezoter;0.835976;0.1207;0.320996;0.0504;0.098052;0.0949;0.536262;0.0976
Románia;mezoter;0.923569;0.5314;0.210182;>0.1500;0.041677;>0.2500;0.273157;>0.2500
Szerbia;mezoter;0.715368;0.0089;0.370894;0.0103;0.155386;0.0148;0.840718;0.0134
